ONTOLOGY,ID,Description,GeneRatio,BgRatio,RichFactor,FoldEnrichment,zScore,pvalue,p.adjust,qvalue,geneID,Count
BP,GO:0044027,negative regulation of gene expression via chromosomal CpG island methylation,1/5,16/18860,0.0625,235.75,15.2971353206778,0.0042350389316079,0.016966460316069,0.0042364233836941,BRCA1,1
BP,GO:0070234,positive regulation of T cell apoptotic process,1/5,16/18860,0.0625,235.75,15.2971353206778,0.0042350389316079,0.016966460316069,0.0042364233836941,TP53,1
BP,GO:0070920,regulation of regulatory ncRNA processing,1/5,16/18860,0.0625,235.75,15.2971353206778,0.0042350389316079,0.016966460316069,0.0042364233836941,TP53,1
BP,GO:0008544,epidermis development,2/5,402/18860,0.0049751243781094,18.7661691542289,5.86334653451285,0.0043429776774385,0.0172914851972091,0.0043175801471611,CDKN1A/EGFR,2
BP,GO:2001233,regulation of apoptotic signaling pathway,2/5,406/18860,0.0049261083743842,18.5812807881773,5.83175583735411,0.0044280448521637,0.0173773492568046,0.0043390198878679,TP53/BRCA1,2
BP,GO:0010663,positive regulation of striated muscle cell apoptotic process,1/5,17/18860,0.0588235294117647,221.882352941176,14.8368436673195,0.0044992516680408,0.0173773492568046,0.0043390198878679,TP53,1
BP,GO:0010666,positive regulation of cardiac muscle cell apoptotic process,1/5,17/18860,0.0588235294117647,221.882352941176,14.8368436673195,0.0044992516680408,0.0173773492568046,0.0043390198878679,TP53,1
BP,GO:0034349,glial cell apoptotic process,1/5,17/18860,0.0588235294117647,221.882352941176,14.8368436673195,0.0044992516680408,0.0173773492568046,0.0043390198878679,TP53,1
BP,GO:1902969,mitotic DNA replication,1/5,17/18860,0.0588235294117647,221.882352941176,14.8368436673195,0.0044992516680408,0.0173773492568046,0.0043390198878679,BRCA2,1
BP,GO:0050678,regulation of epithelial cell proliferation,2/5,416/18860,0.0048076923076923,18.1346153846154,5.75472444459297,0.004644155504446,0.017830239883141,0.004452103961029,BRCA2/EGFR,2
BP,GO:0060253,negative regulation of glial cell proliferation,1/5,18/18860,0.0555555555555556,209.555555555556,14.4153629011941,0.0047634083172826,0.0180729315567487,0.004512702616373,TP53,1
BP,GO:0060965,negative regulation of miRNA-mediated gene silencing,1/5,18/18860,0.0555555555555556,209.555555555556,14.4153629011941,0.0047634083172826,0.0180729315567487,0.004512702616373,TP53,1
BP,GO:0042325,regulation of phosphorylation,2/5,431/18860,0.0046403712296983,17.5034802784223,5.64409548826897,0.0049775127112264,0.0186364553616645,0.0046534111306971,CDKN1A/EGFR,2
BP,GO:0060149,negative regulation of post-transcriptional gene silencing,1/5,19/18860,0.0526315789473684,198.526315789474,14.0275185990299,0.0050275088882629,0.0186364553616645,0.0046534111306971,TP53,1
BP,GO:0060967,negative regulation of gene silencing by regulatory ncRNA,1/5,19/18860,0.0526315789473684,198.526315789474,14.0275185990299,0.0050275088882629,0.0186364553616645,0.0046534111306971,TP53,1
BP,GO:1900369,negative regulation of post-transcriptional gene silencing by regulatory ncRNA,1/5,19/18860,0.0526315789473684,198.526315789474,14.0275185990299,0.0050275088882629,0.0186364553616645,0.0046534111306971,TP53,1
BP,GO:0006089,lactate metabolic process,1/5,20/18860,0.05,188.6,13.6690536063751,0.0052915533899111,0.0190673292541492,0.0047609977574619,TP53,1
BP,GO:0006098,pentose-phosphate shunt,1/5,20/18860,0.05,188.6,13.6690536063751,0.0052915533899111,0.0190673292541492,0.0047609977574619,TP53,1
BP,GO:0070230,positive regulation of lymphocyte apoptotic process,1/5,20/18860,0.05,188.6,13.6690536063751,0.0052915533899111,0.0190673292541492,0.0047609977574619,TP53,1
BP,GO:0070314,G1 to G0 transition,1/5,20/18860,0.05,188.6,13.6690536063751,0.0052915533899111,0.0190673292541492,0.0047609977574619,TP53,1
BP,GO:2000774,positive regulation of cellular senescence,1/5,20/18860,0.05,188.6,13.6690536063751,0.0052915533899111,0.0190673292541492,0.0047609977574619,TP53,1
BP,GO:0048732,gland development,2/5,454/18860,0.0044052863436123,16.6167400881057,5.48491199775288,0.005509965362591,0.0195810080934188,0.004889260282812,BRCA2/EGFR,2
BP,GO:0070242,thymocyte apoptotic process,1/5,21/18860,0.0476190476190476,179.619047619048,13.3364290168987,0.005555541831156,0.0195810080934188,0.004889260282812,TP53,1
BP,GO:1900119,positive regulation of execution phase of apoptosis,1/5,21/18860,0.0476190476190476,179.619047619048,13.3364290168987,0.005555541831156,0.0195810080934188,0.004889260282812,TP53,1
BP,GO:2000269,regulation of fibroblast apoptotic process,1/5,21/18860,0.0476190476190476,179.619047619048,13.3364290168987,0.005555541831156,0.0195810080934188,0.004889260282812,TP53,1
BP,GO:0007549,sex-chromosome dosage compensation,1/5,22/18860,0.0454545454545455,171.454545454545,13.0266755080566,0.0058194742209244,0.0198601104364882,0.0049589504639456,BRCA1,1
BP,GO:0009048,dosage compensation by inactivation of X chromosome,1/5,22/18860,0.0454545454545455,171.454545454545,13.0266755080566,0.0058194742209244,0.0198601104364882,0.0049589504639456,BRCA1,1
BP,GO:0032042,mitochondrial DNA metabolic process,1/5,22/18860,0.0454545454545455,171.454545454545,13.0266755080566,0.0058194742209244,0.0198601104364882,0.0049589504639456,TP53,1
BP,GO:0032211,negative regulation of telomere maintenance via telomerase,1/5,22/18860,0.0454545454545455,171.454545454545,13.0266755080566,0.0058194742209244,0.0198601104364882,0.0049589504639456,TP53,1
BP,GO:0033138,positive regulation of peptidyl-serine phosphorylation,1/5,22/18860,0.0454545454545455,171.454545454545,13.0266755080566,0.0058194742209244,0.0198601104364882,0.0049589504639456,EGFR,1
BP,GO:0070199,establishment of protein localization to chromosome,1/5,22/18860,0.0454545454545455,171.454545454545,13.0266755080566,0.0058194742209244,0.0198601104364882,0.0049589504639456,BRCA2,1
BP,GO:0048568,embryonic organ development,2/5,472/18860,0.0042372881355932,15.9830508474576,5.36827888031541,0.0059445424825259,0.0201801573748907,0.0050388642649665,TP53/EGFR,2
BP,GO:0009651,response to salt stress,1/5,23/18860,0.0434782608695652,164.0,12.7372806361339,0.0060833505681424,0.0203303684790253,0.0050763710767701,TP53,1
BP,GO:0010224,response to UV-B,1/5,23/18860,0.0434782608695652,164.0,12.7372806361339,0.0060833505681424,0.0203303684790253,0.0050763710767701,CDKN1A,1
BP,GO:0038128,ERBB2 signaling pathway,1/5,23/18860,0.0434782608695652,164.0,12.7372806361339,0.0060833505681424,0.0203303684790253,0.0050763710767701,EGFR,1
BP,GO:0001832,blastocyst growth,1/5,24/18860,0.0416666666666667,157.166666666667,12.4661022433471,0.0063471708817358,0.0209944883011263,0.0052421978132555,BRCA2,1
BP,GO:0043153,entrainment of circadian clock by photoperiod,1/5,24/18860,0.0416666666666667,157.166666666667,12.4661022433471,0.0063471708817358,0.0209944883011263,0.0052421978132555,TP53,1
BP,GO:0006740,NADPH regeneration,1/5,25/18860,0.04,150.88,12.2113011156486,0.006610935170629,0.0213202659252787,0.0053235425321381,TP53,1
