"baseMean","log2FoldChange","lfcSE","stat","pvalue","padj","ENSEMBL"
463.413377569053,-3.88621605240043,0.369897251051321,-10.5062041995582,8.08838230061066e-26,1.64029865436915e-23,"ENSG00000157150"
422.428500664886,-4.11306196925896,0.391991527561406,-10.4927318068492,9.32913748912703e-26,1.8772538832772e-23,"ENSG00000173641"
270.103987688006,-2.04376504094621,0.195211674376791,-10.4694816407415,1.1929444474836e-25,2.38203476675226e-23,"ENSG00000154133"
682.29873751108,-2.64944246322668,0.253207655564121,-10.4635164261681,1.27051135789292e-25,2.51755220062476e-23,"ENSG00000166250"
77.2898680191906,-2.14491107736632,0.20527304494761,-10.4490634798824,1.4797922192662e-25,2.91003382028121e-23,"ENSG00000103647"
1568.40829082493,-2.64965536996156,0.253605191177901,-10.4479539935871,1.49720268006085e-25,2.9221343736105e-23,"ENSG00000105971"
214.396804816769,2.863236574489,0.274185266584555,10.4427076266916,1.58231977529473e-25,3.06521318858959e-23,"ENSG00000132031"
635.259707033635,-1.54412730488811,0.148249125903851,-10.4157599275801,2.10112777357185e-25,4.01037314311603e-23,"ENSG00000165795"
179.892545806378,-3.67687891409144,0.353004167571686,-10.4159646028676,2.09661274155952e-25,4.01037314311603e-23,"ENSG00000186458"
55.8770084640619,4.95820908811941,0.476359699725475,10.4085402081175,2.26670717123504e-25,4.29483100371672e-23,"ENSG00000155886"
241.523312145127,-1.4942314201337,0.14363521533625,-10.4029601420216,2.40348493127226e-25,4.52098998883806e-23,"ENSG00000136717"
124.523661775202,3.45951005752356,0.332703203768963,10.3981867873023,2.52695797616099e-25,4.71904857159619e-23,"ENSG00000173391"
1128.81143366627,-2.33823909927278,0.225183760745327,-10.3836932624872,2.94170002217982e-25,5.4543320839817e-23,"ENSG00000024422"
1142.68087501809,-2.37975091800192,0.229702919708382,-10.3601248126194,3.76470460610257e-25,6.93079447980217e-23,"ENSG00000177666"
536.964027668353,-2.0713158801726,0.200074424967409,-10.3527268940546,4.06733090912438e-25,7.43519547458104e-23,"ENSG00000162496"
147.037715947817,-2.17201007628316,0.209854097670783,-10.3500960924317,4.18065992489998e-25,7.58892100213662e-23,"ENSG00000135144"
387.924770780744,-3.29668578583616,0.31917609101143,-10.3287366399825,5.22441199960742e-25,9.41772824207009e-23,"ENSG00000236333"
1873.76127418464,-2.59892312917038,0.252204805966013,-10.3048120721403,6.70225449869711e-25,1.19984222260124e-22,"ENSG00000074416"
1029.11689171862,-1.05804847368793,0.102697348534693,-10.3025880296267,6.85906949914921e-25,1.21950497300627e-22,"ENSG00000100242"
401.620793746591,-3.18199881542104,0.308965341823398,-10.2988859418408,7.12820142638346e-25,1.25873369133375e-22,"ENSG00000168079"
5013.74327012693,-1.17037613627434,0.113776683885642,-10.2866079086176,8.09790182334294e-25,1.42030632115092e-22,"ENSG00000152818"
210.421947132413,-1.61565112934567,0.15708982379404,-10.2848872722905,8.24384850085248e-25,1.43620013010154e-22,"ENSG00000122971"
111.541583807611,-3.43297233987631,0.3338793503671,-10.2820744562423,8.48806797257711e-25,1.46888845621438e-22,"ENSG00000186466"
1188.44802553174,-4.52176172569607,0.439913657690888,-10.2787482194366,8.78612867664179e-25,1.51039952442561e-22,"ENSG00000123689"
325.376509946822,0.969182845215363,0.0943232949902061,10.2751165055885,9.1234138360799e-25,1.55806300234843e-22,"ENSG00000162813"
1345.18847830922,-1.90030855517955,0.184997627667468,-10.2720698591624,9.41623422686895e-25,1.59755952981088e-22,"ENSG00000196730"
330.36490505224,-2.93780178218761,0.286190888326682,-10.2651827923821,1.01129268706152e-24,1.70461919290539e-22,"ENSG00000132970"
11146.2106066869,-1.9659481713715,0.191891466813218,-10.2451047147662,1.24490005641057e-24,2.08484617189068e-22,"ENSG00000117289"
1510.37644429624,-2.36198063358648,0.230579453068407,-10.2436735023643,1.26346040605332e-24,2.10236571925206e-22,"ENSG00000170145"
2863.80275730597,-4.54453954738012,0.443693427181377,-10.2425216804538,1.27859642779866e-24,2.1140003868024e-22,"ENSG00000244734"
50.4290946792748,-3.24607541862191,0.316954896629333,-10.2414427199024,1.29293788359323e-24,2.12418237862742e-22,"ENSG00000159387"
57.5631698555841,-2.86237068559955,0.279575431123977,-10.2382769261661,1.3359436177778e-24,2.18103298303623e-22,"ENSG00000245812"
512.887007500432,-2.68249674018147,0.262058853042529,-10.2362378108483,1.36439127170711e-24,2.21355428943583e-22,"ENSG00000127955"
601.629271939537,-1.15105701474585,0.112537190775458,-10.2282366106198,1.48193140867035e-24,2.38931524883633e-22,"ENSG00000157827"
289.555376550528,-3.66239579829308,0.358120677941126,-10.2267085479358,1.50549408602387e-24,2.412321943519e-22,"ENSG00000134339"
414.001829174561,-1.89469262931804,0.18530099099454,-10.2249460143139,1.53313355605995e-24,2.44153870234381e-22,"ENSG00000186642"
127.437414733861,-1.96100615118068,0.191850784012692,-10.2215175260944,1.58834592897619e-24,2.51404168441243e-22,"ENSG00000182175"
1623.97890460701,-2.38691344710307,0.233580116836354,-10.2188211883434,1.63314761781301e-24,2.56928762807212e-22,"ENSG00000133401"
105.24304731436,4.48540333073937,0.439458298816322,10.2066643019844,1.851197859978e-24,2.89478277405476e-22,"ENSG00000165474"
148.256594852066,-2.88787263944215,0.28305308307128,-10.2025832331772,1.93067808487902e-24,3.0009905225922e-22,"ENSG00000005102"
