GO_ID,Python_Name,Namespace,Enrichment,Study_Count,Study_Total,Population_Count,Population_Total,P_Value,Python_FDR,R_Name,R_Adjusted_P
GO:0030282,bone mineralization,BP,e,13,3765,29,20413,0.0009802603274407,0.0222710364636842,bone mineralization,0.0001117954068254
GO:0071174,mitotic spindle checkpoint signaling,BP,e,13,3765,29,20413,0.0009802603274407,0.0222710364636842,mitotic spindle checkpoint signaling,0.0002261305049275
GO:0015276,ligand-gated monoatomic ion channel activity,MF,e,47,3765,161,20413,0.0009866013100357,0.0223655095647826,ligand-gated monoatomic ion channel activity,0.0113166383898379
GO:0006820,monoatomic anion transport,BP,e,42,3765,141,20413,0.0009879071141129,0.022370365181787,monoatomic anion transport,0.0004363196154322
GO:0010718,positive regulation of epithelial to mesenchymal transition,BP,e,20,3765,53,20413,0.0010124710834306,0.0227755981479074,positive regulation of epithelial to mesenchymal transition,0.0065368879012411
GO:0070542,response to fatty acid,BP,e,20,3765,53,20413,0.0010124710834306,0.0227755981479074,response to fatty acid,0.0012543272642888
GO:0045682,regulation of epidermis development,BP,e,20,3765,53,20413,0.0010124710834306,0.0227755981479074,regulation of epidermis development,0.0004773384242057
GO:0045600,positive regulation of fat cell differentiation,BP,e,20,3765,53,20413,0.0010124710834306,0.0227755981479074,positive regulation of fat cell differentiation,0.0255517289905102
GO:0036294,cellular response to decreased oxygen levels,BP,e,38,3765,124,20413,0.0010112655915591,0.0227755981479074,cellular response to decreased oxygen levels,0.0085252868952359
GO:0016247,channel regulator activity,MF,e,47,3765,162,20413,0.0010337963849385,0.0232043694595241,channel regulator activity,0.002699509781624
GO:0042277,peptide binding,MF,e,47,3765,162,20413,0.0010337963849385,0.0232043694595241,peptide binding,0.0374904813221753
GO:0007584,response to nutrient,BP,e,40,3765,133,20413,0.0010444513090227,0.0234178782010969,response to nutrient,0.0002920471619467
GO:0002062,chondrocyte differentiation,BP,e,16,3765,38,20413,0.0010471148600248,0.0234519397010818,chondrocyte differentiation,3.79366193676962e-06
GO:0099106,ion channel regulator activity,MF,e,45,3765,153,20413,0.0010590733303482,0.0236938752825621,ion channel regulator activity,0.0009861555830475
GO:0071314,cellular response to cocaine,BP,e,5,3765,6,20413,0.0010817079228031,0.0239389205853192,cellular response to cocaine,0.0182707723533548
GO:0042481,regulation of odontogenesis,BP,e,5,3765,6,20413,0.0010817079228031,0.0239389205853192,regulation of odontogenesis,0.0002645269467706
GO:0022834,ligand-gated channel activity,MF,e,47,3765,163,20413,0.0010989427745266,0.0242941038601667,ligand-gated channel activity,0.0133470644590852
GO:0045606,positive regulation of epidermal cell differentiation,BP,e,12,3765,26,20413,0.0011167684595893,0.0245557253673439,positive regulation of epidermal cell differentiation,0.0002110925746084
GO:0015698,inorganic anion transport,BP,e,43,3765,145,20413,0.0011311394320604,0.0247919148462196,inorganic anion transport,0.0001121552938892
GO:1903169,regulation of calcium ion transmembrane transport,BP,e,36,3765,117,20413,0.0011398156667043,0.0249287539570685,regulation of calcium ion transmembrane transport,0.0155574158442371
GO:0001934,positive regulation of protein phosphorylation,BP,e,57,3765,207,20413,0.0011429802034604,0.0249315831474059,positive regulation of protein phosphorylation,5.62241752959011e-05
