"ENSEMBL","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj","ENTREZID","SYMBOL"
"ENSG00000115255",131.242347275678,1.18414669008214,0.280749745679331,4.2178014701914,2.46695873160378e-05,0.000126907084334068,"92840","REEP6"
"ENSG00000115257",29.6433819628289,1.46665869261425,0.312655459380777,4.69097419734494,2.71907263942945e-06,1.73675412338361e-05,"54760","PCSK4"
"ENSG00000115295",510.791499646482,-1.50787435039004,0.202544248627957,-7.44466634132759,9.71897425696271e-14,2.67534606322628e-12,"79745","CLIP4"
"ENSG00000115297",3.3076640444389,1.55247592206795,0.598345538930491,2.59461435083634,0.0094697106845593,0.0240547075846826,"3196","TLX2"
"ENSG00000115306",12452.2825880678,-2.22927958202536,0.175003887989555,-12.7384574573476,3.61471087651641e-37,8.53006044841936e-34,"6711","SPTBN1"
"ENSG00000115353",77.4860349339208,-1.96401340376015,0.266304734645239,-7.37506002804093,1.64271019390108e-13,4.33348284687847e-12,"6869","TACR1"
"ENSG00000115361",147.391740684197,-1.55512590069752,0.198027392534524,-7.85308477172625,4.05927091444351e-15,1.40120418081283e-13,"33","ACADL"
"ENSG00000115380",1391.29173124806,-1.80619160034603,0.264890318283,-6.81863954882775,9.19066740908808e-12,1.76719514522303e-10,"2202","EFEMP1"
"ENSG00000115414",25760.6689480776,2.65070429373422,0.286655013759747,9.24701877343002,2.30841235521449e-20,1.83809104038827e-18,"2335","FN1"
"ENSG00000115425",210.806617449072,-1.53916419256299,0.216796128598,-7.09959261042446,1.25125175756321e-12,2.79037741605032e-11,"55825","PECR"
"ENSG00000115459",397.181196031708,-1.16582658614342,0.17173666764687,-6.78845468540607,1.13340967000033e-11,2.1366048085598e-10,"84173","ELMOD3"
"ENSG00000115504",838.436540587247,-1.56549082094891,0.166645365804142,-9.39414554611033,5.7684105751506e-21,4.97463128603851e-19,"23301","EHBP1"
"ENSG00000115507",9.36079308602572,1.89649723130679,0.364601769286146,5.20155794915627,1.97624831090681e-07,1.60160642068432e-06,"5013","OTX1"
"ENSG00000115593",31.3357428308166,-2.28696229020789,0.516747070219269,-4.42568990132343,9.61345420655683e-06,5.45336635257435e-05,"150572","SMYD1"
"ENSG00000115648",1749.6587623444,2.08347921837687,0.278326805665512,7.48572963856292,7.11507312452744e-14,2.00317861351934e-12,"79083","MLPH"
"ENSG00000115687",155.689852727443,1.20898563029805,0.203149824992797,5.95120192863036,2.66180432622473e-09,3.18557476718034e-08,"23178","PASK"
"ENSG00000115705",77.496296375201,-2.52768272532255,0.322714966313514,-7.83255500727824,4.78053927424209e-15,1.63226509342065e-13,"7173","TPO"
"ENSG00000115718",7.66439361012564,1.19015143412463,0.356218048674588,3.34107560959624,0.000834544928277165,0.00288572229228968,"5624","PROC"
"ENSG00000115844",18.2220662235022,1.96329980679172,0.628517175763824,3.12370112146222,0.00178591764355162,0.00564250854324648,"1746","DLX2"
"ENSG00000115884",781.249239764731,2.29554734211056,0.381452235634444,6.01791555446656,1.76677313721467e-09,2.18806760953332e-08,"6382","SDC1"
"ENSG00000115902",355.169340903569,1.16316895343278,0.207818154614794,5.59705168967937,2.18027718780439e-08,2.17843091766845e-07,"6509","SLC1A4"
"ENSG00000115963",572.047909329898,-1.04415737827179,0.15890064261678,-6.5711337668406,4.99335741719307e-11,8.29287087879065e-10,"390","RND3"
"ENSG00000116005",1890.27994826934,-1.1893986049531,0.169083631618868,-7.03438052261691,2.0014821887217e-12,4.3079995567859e-11,"51449","PCYOX1"
"ENSG00000116014",3.48096451965667,2.06864323255971,0.673254160654873,3.07260371112678,0.00212200081834161,0.00656765199028395,"84634","KISS1R"
"ENSG00000116016",2795.16471328896,-2.14683236076344,0.229258529508203,-9.36424204311504,7.65980810836807e-21,6.49782022473916e-19,"2034","EPAS1"
"ENSG00000116117",458.629951974423,-1.09204219639733,0.126027794124027,-8.66509014132728,4.51155894024661e-18,2.51674269958359e-16,"117583","PARD3B"
"ENSG00000116141",180.016782530675,-1.84213420531759,0.280230222897679,-6.57364571982733,4.90979759339242e-11,8.16977730315901e-10,"4139","MARK1"
"ENSG00000116147",25.2902108195527,1.81880490984507,0.328907468621378,5.52983766975139,3.20527254788122e-08,3.09187903373841e-07,"7143","TNR"
"ENSG00000116176",23.9031802309741,1.22209304648346,0.50832425695977,2.40416039516324,0.0162096594016763,0.0381262799601601,"25823","TPSG1"
"ENSG00000116183",91.9899755067243,-1.25422825624994,0.248630969960524,-5.04453751859263,4.54619625301826e-07,3.41267097558843e-06,"60676","PAPPA2"
"ENSG00000116191",690.394804595021,1.68902657131737,0.2326947894335,7.258549172628,3.9126415549331e-13,9.55450136246034e-12,"55103","RALGPS2"
"ENSG00000116194",194.850204953382,-2.55105887361359,0.297903862396749,-8.56336286844138,1.09622233609865e-17,5.81279376778336e-16,"9068","ANGPTL1"
"ENSG00000116299",1942.24737256161,1.77073782403411,0.44565990729061,3.97329397387194,7.08854732310306e-05,0.00032372363021307,"57535","ELAPOR1"
"ENSG00000116329",7.96511974495131,2.3467293968471,0.746375860678308,3.14416572196532,0.00166561084954717,0.00530893006293535,"4985","OPRD1"
"ENSG00000116574",330.559068248568,-1.28176408497426,0.178034395828133,-7.19953062447339,6.04201855437578e-13,1.43101019739495e-11,"58480","RHOU"
"ENSG00000116678",826.968197339107,-2.12101480644858,0.317512066208755,-6.68010772558821,2.38766671178747e-11,4.25680305663318e-10,"3953","LEPR"
"ENSG00000116690",165.75287233152,-1.58204922816519,0.340219459186603,-4.65008448354939,3.31799084671636e-06,2.08543356898459e-05,"10216","PRG4"
"ENSG00000116711",100.575100154868,-1.80123026555668,0.218285849569784,-8.25170421768837,1.56151515493655e-16,6.91703249007559e-15,"5321","PLA2G4A"
"ENSG00000116833",98.908950468248,-1.52225250654389,0.236274640283679,-6.4427248930153,1.17347291989174e-10,1.8251054556351e-09,"2494","NR5A2"
"ENSG00000116857",366.415862915667,1.04883087935463,0.127826268959148,8.20512784965838,2.30345630401567e-16,9.91594008949233e-15,"252839","TMEM9"
"ENSG00000116871",628.234548451237,-1.22788788201963,0.162587206580816,-7.55218019819589,4.28031698062895e-14,1.25546291732391e-12,"55700","MAP7D1"
"ENSG00000116962",1280.88909973197,-1.04886518342851,0.195211093883568,-5.37297938637695,7.74461855397409e-08,6.89576964405521e-07,"4811","NID1"
"ENSG00000116990",39.8015541216321,1.22356216725765,0.296534547823841,4.12620443802225,3.6879944940289e-05,0.000181050029723346,"4610","MYCL"
"ENSG00000117009",53.5450565414363,1.52537155566318,0.295980609859491,5.15361988201627,2.55505603139033e-07,2.015318883708e-06,"8564","KMO"
