"ONTOLOGY","ID","Description","GeneRatio","BgRatio","RichFactor","FoldEnrichment","zScore","pvalue","p.adjust","qvalue","geneID","Count"
"BP","GO:0051224","negative regulation of protein transport","30/2867","128/18860",0.234375,1.54179019881409,2.60406765117206,0.00904239954639455,0.0438697101696189,0.0308794507128944,"ABCC8/NR1H3/DERL3/FERMT1/PDE8B/LYPLA1/ACVR1C/GNAI1/GNAZ/CD36/MDFIC/CCN3/BARD1/HADH/ADRA2A/FOXO1/FRMD4A/ANGPT1/CABP1/KCNB1/PKDCC/INHBB/ADIPOQ/F2R/BMP8A/ADRA2C/PRKN/KCNJ11/APOD/FAM3D",30
"BP","GO:0050670","regulation of lymphocyte proliferation","53/2867","254/18860",0.208661417322835,1.37263841322241,2.53154807948743,0.0091482964143967,0.0443480812624542,0.0312161713460275,"CD22/IGF1/TNFRSF1B/TNFRSF9/CD209/EFNB1/PYCARD/IL4I1/VSIR/CRTAM/CD81/IL23A/PRLR/BCL6/HHLA2/TACR1/NR5A2/TNFSF4/GPAM/CD80/STAT5A/FOXJ1/VAV3/VTCN1/ANXA1/IL6/TLR4/ERBB2/TNFRSF21/IL18/VSIG4/TNFRSF13C/FCRL3/TGFBR2/CTLA4/IGF2/PRNP/STAT5B/LEP/ATAD5/SOX11/CLEC4G/IRS2/BTLA/PLA2G2A/PDCD1LG2/CARD11/CR1/FCGR3A/BTNL2/HLA-E/TNFRSF13B/MIF",53
"BP","GO:0031638","zymogen activation","16/2867","57/18860",0.280701754385965,1.84654171179606,2.71006947764349,0.00916984533470445,0.0443767515603859,0.0312363520823142,"HPN/SERPINE1/VSIR/HGFAC/GZMK/PLAU/MASP1/F12/CTSL/FCN3/RUNX1/CLEC3B/PRSS12/KLKB1/CFD/HP",16
"BP","GO:0099172","presynapse organization","16/2867","57/18860",0.280701754385965,1.84654171179606,2.71006947764349,0.00916984533470445,0.0443767515603859,0.0312363520823142,"GPC4/PLS3/CBLN1/WNT5A/EFNB2/LRRC4B/LRP4/NTRK3/SNCA/NLGN4X/FARP1/LRFN5/NLGN1/TLN2/NRXN1/SLITRK2",16
"BP","GO:0051928","positive regulation of calcium ion transport","25/2867","102/18860",0.245098039215686,1.61232961967487,2.62542910784856,0.00917611066152411,0.0443767515603859,0.0312363520823142,"CX3CL1/ATP2C2/MYLK/ADCYAP1R1/P2RX5/CEMIP/CAV1/CXCL12/MCHR1/APLNR/TRPC6/CXCL9/SNCA/ANK2/MS4A1/CACNA1D/GPER1/CXCL10/CXCL11/GRIN1/AKAP5/F2R/DRD1/CXCR3/ASPH",25
"BP","GO:0044772","mitotic cell cycle phase transition","89/2867","461/18860",0.193058568329718,1.26999811604412,2.48497655073772,0.00921049624555404,0.0445076364679833,0.0313284806611808,"USH1C/ANLN/FHL1/FOXN3/TRIP13/CDC14B/ORC1/AURKA/BIRC5/MAP3K20/CLSPN/CDC6/E2F1/RGCC/CCNP/EZH2/FOXM1/TTK/RHOU/CENPF/KIF14/MYB/PKD2/CCND2/DUSP1/INHBA/ZWINT/CDKN2C/STIL/CKS2/DLGAP5/HSPA2/PKMYT1/CDKN1C/KCNA5/NES/CCNB1/CDCA8/ANXA1/ESPL1/USP44/KLF4/IER3/KNL1/BARD1/CENPE/TICRR/NUF2/DTL/CCNA2/EGFR/NFIB/CDKN2B/LATS2/EPS8/SPC25/CCNO/ADAMTS1/SKA1/BUB1B/CDC25C/BRSK1/SPC24/DDR2/MAD2L1/CHMP4C/MELK/E2F7/PLK1/FAM107A/BUB1/CDK1/RRM2/KLF11/ID4/UBE2C/CCNE2/ATAD5/HASPIN/AURKB/UBE2E2/IQGAP3/FOXO4/MUC1/DBX2/DCUN1D3/KANK2/BLM/CDC14C",89
"BP","GO:0032733","positive regulation of interleukin-10 production","13/2867","43/18860",0.302325581395349,1.98878983785011,2.74834493021627,0.00939970457503786,0.045379371016476,0.031942085900897,"PRKCZ/TREM2/PYCARD/IL23A/TNFSF4/IL6/TLR4/TSLP/INAVA/RBM47/CLEC7A/TIGIT/ISG15",13
"BP","GO:0043254","regulation of protein-containing complex assembly","85/2867","438/18860",0.194063926940639,1.27661167146859,2.47997541401388,0.00940582455679549,0.045379371016476,0.031942085900897,"FKBP4/BAIAP2L1/TENM1/CAPG/CYFIP2/PRKCZ/SPTB/FERMT2/CAMSAP3/PAK3/TREM2/SH3GLB1/KCNK6/BIK/FERMT1/PYCARD/RASIP1/MET/CCL24/KANK1/CRYAB/SPTBN1/OPRD1/KIF14/CLU/ARHGAP40/SOX9/THRA/CCR7/SYNGR3/GFAP/MAP1B/KANK4/PSRC1/CD36/BIN1/TMOD1/STXBP1/TLR4/CCL21/SLAIN1/SKAP1/ANKRD53/SNCA/DAAM2/TTBK1/GSN/ADD3/ESAM/CDC42EP2/MMP3/LATS2/EPS8/KCNK13/SKA1/CXCL13/PINK1/DMTN/TPPP3/BRSK1/TAL1/LMOD1/ABCA1/STXBP6/P2RY12/TPPP/PTGER4/CCL11/CLEC7A/INSM1/SELP/CDK5R1/CDH5/MAPK15/CAV3/KIRREL1/INPP5J/TRABD2A/KANK3/ISG15/EVL/MMP1/KANK2/OCLN/CYRIA",85
"BP","GO:0002294","CD4-positive, alpha-beta T cell differentiation involved in immune response","23/2867","92/18860",0.25,1.64457621206836,2.62402155563646,0.00950386680893695,0.0457053231191897,0.0321715203296086,"PRKCZ/IL12RB2/LGALS1/GATA3/IL23A/BCL6/TNFSF4/MYB/CD80/LY9/STAT5A/ANXA1/IL6/LEF1/RORC/IL18/BATF/ICOS/PTGER4/PDP2/ASCL2/SOCS3/ENTPD7",23
"BP","GO:0002828","regulation of type 2 immune response","11/2867","34/18860",0.323529411764706,2.12827509797082,2.78794140892812,0.0095260148695531,0.0457053231191897,0.0321715203296086,"PRKCZ/GATA3/CD81/BCL6/TNFSF4/ANXA1/IL6/IL33/IL18/ASCL2/DENND1B",11
